고령자복지주택,,,
단지명,시도명,시군구명,세대수
서울번동3,서울특별시,강북구,100
서울독산13,서울특별시,금천구,10
대구연호,대구광역시,수성구,143
옹진백령,인천광역시,옹진군,72
인천검단,인천광역시,서구,120
대전인동,대전광역시,동구,80
울산다운,울산광역시,중구,148
울산혁신,울산광역시,중구,80
세종신흥,세종특별자치시,세종특별자치시,80
분당목련1(고령자복지주택),경기도,성남시,130
시흥하중,경기도,시흥시,100
의정부우정,경기도,의정부시,100
파주운정,경기도,파주시,152
양평공흥,경기도,양평군,150
시흥은계,경기도,시흥시,190
남양주다산진건,경기도,남양주시,116
성남위례,경기도,성남시,164
평택고덕,경기도,평택시,114
수원광교,경기도,수원시,152
동해천곡,강원도,동해시,318
평창종부,강원도,평창군,116
홍천북방,강원도,홍천군,128
화천신읍,강원도,화천군,120
영월덕포,강원도,영월군,100
영월주천,강원도,인제군,100
영동부용,충청북도,영동군,168
보은이평,충청북도,보은군,100
제천청전,충청북도,제천시,90
천안쌍용,충청남도,천안시,50
예산주교,충청남도,예산군,144
청양교월,충청남도,청양군,127
보령명천,충청남도,보령시,120
군산오룡,전라북도,군산시,150
전주평화4,전라북도,전주시,10
정읍연지,전라북도,정읍시,88
고창율계,전라북도,고창군,128
부안봉덕,전라북도,부안군,80
영암남풍,전라남도,영암군,100
광양칠성,전라남도,광양시,150
장성영천,전라남도,장성군,150
진도쌍정,전라남도,진도군,100
영덕영해,경상북도,영덕군,124
경주황성,경상북도,경주시,137
경주내남,경상북도,경주시,90
경주안강,경상북도,경주시,103
안동운흥,경상북도,안동시,150
인제서화,강원도,인제군,70
고성교사,경상남도,고성군,100
진주평거,경상남도,진주시,104
남해고현,경상남도,남해군,30
남해창선,경상남도,남해군,32
제주화북,제주특별자치도,제주시,100
제주아라,제주특별자치도,제주시,24
