그 외 고령친화주택,,,
지구명,시도명,시군구명,세대수
도천지구,강원도,영월군,26
서곡지구,강원도,원주시,50
산북지구,강원도,강릉시,20
한계지구,강원도,인제군,31
샛돌지구,강원도,강릉시,54
고탄지구,강원도,춘천시,30
둔내지구,강원도,횡성군,34
유목지구,강원도,인제군,30
강림지구,강원도,횡성군,30
오봉지구,강원도,고성군,38
월현지구,강원도,횡성군,33
개울하늘,강원도,화천군,20
건강명상,강원도,화천군,20
청리지구,강원도,양구군,31
진동지구,강원도,인제군,30
고대지구,강원도,양구군,31
동박골지구,강원도,횡성군,36
산수지구,강원도,춘천시,45
직동지구,강원도,영월군,43
모곡지구,강원도,홍천군,35
아우라밸리,강원도,화천군,20
앙성지구,충청북도,충주시,21
송학지구,충청북도,제천시,31
애련지구,충청북도,제천시,30
달두루지구,충청북도,충주시,57
인경지구,충청북도,청주시,32
원마루지구,충청북도,제천시,51
소수지구,충청북도,괴산군,31
하일지구,충청북도,단양군,21
사은지구,충청북도,괴산군,51
한석지구,충청북도,영동군,49
우매지구,충청북도,영동군,40
은지지구,충청남도,천안시,30
등고지구,충청남도,서천군,34
작천지구,충청남도,청양군,31
지정지구,충청남도,홍성군,20
대동지구,충청남도,예산군,30
신동지구,충청남도,금산군,34
수정지구,충청남도,청양군,31
죽림지구,충청남도,보령시,31
성북지구,충청남도,당진시,66
동화지구,충청남도,아산시,50
광곡지구,전라북도,완주군,33
덕천지구,전라북도,완주군,31
운산지구,전라북도,부안군,23
옥산지구,전라북도,군산시,30
하동지구,전라북도,김제시,30
학선지구,전라북도,진안군,31
금과지구,전라북도,순창군,75
뜰아름지구,전라북도,군산시,30
백일지구,전라북도,남원시,20
강천산지구,전라북도,순창군,20
신월지구,전라북도,고창군,30
용산지구,전라북도,고창군,30
신대지구,전라북도,익산시,42
우동지구,전라북도,부안군,31
궁산지구,전라남도,담양군,20
유천지구,전라남도,담양군,31
마륜지구,전라남도,순천시,37
만봉지구,전라남도,나주시,49
신광지구,전라남도,나주시,30
금덕지구,전라남도,함평군,22
묵백지구,전라남도,광양시,22
구룡지구,전라남도,순천시,33
대성지구,전라남도,담양군,21
용수지구,전라남도,담양군,50
월남지구,전라남도,강진군,30
원창지구,전라남도,순천시,22
금안지구,전라남도,나주시,33
금천지구,전라남도,나주시,76
용두지구,전라남도,화순군,20
대포지구,전라남도,화순군,20
미교지구,전라남도,영암군,20
영보지구,전라남도,영암군,20
예뜨랑,전라남도,무안군,32
약실지구,전라남도,무안군,22
무고지구,전라남도,해남군,33
수문지구,전라남도,장흥군,22
남동지구,전라남도,진도군,55
서산지구,전라남도,나주시,32
태평지구,전라남도,곡성군,109
남도지구,전라남도,구례군,21
청궁지구,전라남도,화순군,20
신유토지구,전라남도,영암군,20
서촌갯노을,전라남도,진도군,35
천석지구,전라남도,나주시,78
교원지구,전라남도,나주시,32
도솔지구,전라남도,광양시,43
영천지구,전라남도,보성군,30
인계지구,전라남도,화순군,20
다지지구,전라남도,화순군,20
난전지구,전라남도,영암군,50
산호지구,전라남도,영암군,23
저두지구,전라남도,영암군,30
방축지구,전라남도,신안군,32
신성지구,전라남도,신안군,58
벽진지구,경상북도,성주군,50
황강지구,경상북도,영천시,31
가산지구,경상북도,칠곡군,22
봉산지구,경상북도,칠곡군,25
산포지구,경상북도,울진군,31
후포지구,경상북도,울진군,22
양천지구,경상남도,의령군,22
갈전지구,경상남도,진주시,35
양촌지구,경상남도,통영시,20
모곡지구,경상남도,함안군,27
내산지구,경상남도,고성군,25
용소지구,경상남도,남해군,21
석대지구,경상남도,산청군,27
지곡지구,경상남도,의령군,30
백학지구,경상남도,김해시,30
장기지구,경상남도,고성군,30
항촌지구,경상남도,남해군,21
보산지구,경상남도,함양군,78
문항지구,경상남도,남해군,20
금산지구,경상남도,밀양시,22
소동1지구,경상남도,거제시,33
소동2지구,경상남도,거제시,33
모곡2지구,경상남도,함안군,48
수월지구,경상남도,산청군,20
저지지구,제주특별자치도,제주시,21
성읍지구,제주특별자치도,서귀포시,20
SK그레이스힐(등촌),서울특별시,강서구,182
더 클래식 500,서울특별시,광진구,380
삼성노블카운티+양로시설,경기도,용인시,555
용인 엘펜하임,경기도,용인시,336
서천어메니티복지마을+양로시설,충청남도,서천군,107
