,구미시,초중고_수,대학교_수,도서관_수,상급종합병원_수,종합병원_수,우체국_수,유통_수,주민센터_수
0,원평동,1.9459101490553132,0.0,1.0986122886681098,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453
1,지산동,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453
2,도량동,2.9444389791664403,0.0,2.302585092994046,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
3,봉곡동,2.70805020110221,0.0,2.0794415416798357,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453
4,부곡동,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0
5,선기동,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0
6,수점동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,남통동,1.6094379124341003,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0
8,형곡동,2.70805020110221,0.0,1.0986122886681098,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098
9,송정동,1.6094379124341003,0.0,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,0.6931471805599453
10,신평동,2.1972245773362196,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,1.0986122886681098
11,비산동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,공단동,1.6094379124341003,0.6931471805599453,1.0986122886681098,0.0,0.6931471805599453,1.0986122886681098,0.0,1.0986122886681098
13,광평동,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.6931471805599453
14,사곡동,1.6094379124341003,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.6931471805599453
15,상모동,1.9459101490553132,0.0,1.0986122886681098,0.0,0.0,0.6931471805599453,0.0,0.0
16,오태동,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,신동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,구평동,2.3978952727983707,0.0,1.0986122886681098,0.0,0.0,0.6931471805599453,0.0,0.0
19,황상동,1.6094379124341003,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0
20,인의동,1.9459101490553132,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
21,진평동,1.6094379124341003,0.0,1.0986122886681098,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453
22,시미동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,임수동,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0
24,양호동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,거의동,1.0986122886681098,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0
26,옥계동,2.5649493574615367,0.0,1.3862943611198906,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
27,구포동,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.0
28,금전동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,선산읍,1.9459101490553132,0.0,1.0986122886681098,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453
30,고아읍,2.70805020110221,0.0,2.0794415416798357,0.0,0.0,1.0986122886681098,0.0,0.6931471805599453
31,산동읍,2.70805020110221,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
32,무을면,1.6094379124341003,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
33,옥성면,1.6094379124341003,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
34,도개면,1.9459101490553132,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
35,해평면,1.9459101490553132,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
36,장천면,1.9459101490553132,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
