,주민센터_수,우체국_수,대학교_수,초중고_수,도서관 수,유통_수,상급종합병원_수,종합병원_수
주민센터_수,1.0,1.0280225370977285,0.4731974454383393,1.6360474806091168,1.1938275127573137,1.1835101698120125,0.0,0.5268025545616606
우체국_수,0.972741320266343,1.0,0.460298707822351,1.5914509863061364,1.1612853509298338,1.1512492451315808,0.0,0.5124426124439919
대학교_수,2.1132827525593787,2.1725022968909635,1.0,3.4574309231394706,2.522895092240893,2.5010916293423473,0.0,1.1132827525593785
초중고_수,0.6112292044407477,0.6283573974974036,0.28923209811867023,1.0,0.7297022408621295,0.7233959795417306,0.0,0.3219971063220774
도서관 수,0.8376419451838217,0.8611147976673488,0.3963700286529859,1.3704219940705114,1.0,0.9913577607861692,0.0,0.44127191653083575
유통_수,0.8449441546909893,0.8686216336113264,0.39982541553783313,1.3823687555375928,1.0087175786135747,1.0,0.0,0.4451187391531561
상급종합병원_수,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
종합병원_수,1.8982444017039273,1.951438025871231,0.8982444017039272,3.10561797098807,2.2661763926916945,2.2465915542053168,0.0,1.0
기하평균,1.0676396702097029,1.0937725219233918,0.5547365675197767,1.6424649780174572,1.2466616156921557,1.237229302690039,0.0,0.6093496846307207
가중치,0.14327167727647955,0.14677856972484868,0.0744427550725467,0.22041023655688677,0.16729548897460766,0.16602972174796968,0.0,0.08177155064666103
