법정동코드,지역명,세대수(log),세대수,총_인구수
4711000000,경상북도_포항시,4.623868968987802,100.88747000098516,499363
4719000000,경상북도_구미시,4.497492652530408,88.79170979725156,409091
4824000000,경상남도_사천시,4.468865178120395,86.25764492146094,109752
4613000000,전라남도_여수시,4.398424281107166,80.32262605606023,275489
4833000000,경상남도_양산시,4.3527258133467495,76.68994285004662,353821
4421000000,충청남도_서산시,4.336788632801678,75.46159837733124,176477
4611000000,전라남도_목포시,4.269928383251573,70.51651365564537,217470
4689000000,전라남도_완도군,4.192277754329416,65.17334605702962,48013
4721000000,경상북도_영주시,4.157651163903164,62.92120569886485,101332
4223000000,강원도_삼척시,4.14522184199815,62.13162559435232,64046
4277000000,강원도_정선군,4.042102154908488,55.94592622833147,35282
4874000000,경상남도_창녕군,4.0084805714681275,54.06314246042888,59229
4889000000,경상남도_합천군,4.001412509019952,53.67532490480841,42482
4575000000,전라북도_임실군,3.9969668322329124,53.432795584985435,26580
4423000000,충청남도_논산시,3.969686354824583,51.96791510306558,113473
4221000000,강원도_속초시,3.946914229974797,50.77535324614284,83035
4476000000,충청남도_부여군,3.944182389807521,50.634104279115476,63047
4278000000,강원도_철원군,3.9282673294734596,49.818849020402844,42715
4725000000,경상북도_상주시,3.9171969422916355,49.25936723943846,95394
4219000000,강원도_태백시,3.908832774379738,48.84074261657537,40029
4728000000,경상북도_문경시,3.908276971902439,48.81304870524384,71752
4792000000,경상북도_봉화군,3.876228503941079,47.24192729992749,30462
4375000000,충청북도_진천군,3.8499766169197147,45.991964401855945,85914
4482500000,충청남도_태안군,3.797894434344686,43.607162234236206,61547
4773000000,경상북도_의성군,3.7954385995132522,43.497748817120836,50477
4885000000,경상남도_하동군,3.770028373088188,42.381295679718136,42927
4729000000,경상북도_경산시,3.7512443344683226,41.574025380831294,267607
4377000000,충청북도_음성군,3.749681773813433,41.50755283107131,92311
4677000000,전라남도_고흥군,3.722700127438878,40.37596378978589,62387
4888000000,경상남도_거창군,3.702626355645856,39.55367298601179,60531
4574000000,전라북도_장수군,3.694004469137353,39.20552681508422,21536
4573000000,전라북도_무주군,3.6548750034959965,37.662688112264036,23693
4790000000,경상북도_예천군,3.636940913713569,36.97548856031775,55671
4687000000,전라남도_영광군,3.6327546406218687,36.816845088545996,52292
4782000000,경상북도_청도군,3.626819894471599,36.59307637478106,41617
4783000000,경상북도_고령군,3.575971269197025,34.72930674331337,30333
4775000000,경상북도_청송군,3.537304133655323,33.3741261184658,24464
4283000000,강원도_양양군,3.5365196648842234,33.34717126399512,27856
4373000000,충청북도_옥천군,3.4746512513961405,31.286566677893738,49934
4374500000,충청북도_증평군,3.467158136664634,31.045543863012206,37112
4425000000,충청남도_계룡시,3.4314476956973565,29.921375104140516,43499
4776000000,경상북도_영양군,3.4006117204371176,28.982435307230663,16200
4772000000,경상북도_군위군,3.3189512111713273,26.631355899148968,23359
4794000000,경상북도_울릉군,2.910961595991208,17.37445888061393,9062
